STATEFP,COUNTYFP,COUSUBFP,Place,Population,Area,Density,State,lat,lon,poi_count,poke_score,visible_stops,estimated_gyms,area_km2,stationary_cluster_score,cluster_grade
33,13,6500,"Bow town, Merrimack County, New Hampshire",8229,28.4959251174655,288.7781311215036,New Hampshire,43.1532754,-71.5342311,0,0.0,0,0,73.80416109498447,0.0,D
33,11,31940,"Greenville town, Hillsborough County, New Hampshire",1974,6.866511460322903,287.48222607745726,New Hampshire,42.91531,-71.71601,1,287.48222607745726,1,0,17.784196017121715,0.05622969961854059,D
33,11,8100,"Brookline town, Hillsborough County, New Hampshire",5639,20.16191533160477,279.68572961719536,New Hampshire,42.7242191,-71.6427313,12,3356.228755406344,11,2,52.219159089703034,0.210650653740019,D
33,15,27940,"Fremont town, Rockingham County, New Hampshire",4739,17.36956785779626,272.8335004530881,New Hampshire,42.9898654,-71.1409631,10,2728.335004530881,9,2,44.98700705601373,0.20005776309577603,D
33,15,24660,"Epping town, Rockingham County, New Hampshire",7125,26.16280678483179,272.3331658792361,New Hampshire,43.0394258,-71.0729415,10,2723.331658792361,9,2,67.76140794464648,0.1328189639647393,D
33,15,7220,"Brentwood town, Rockingham County, New Hampshire",4490,16.944360463808486,264.9849198847136,New Hampshire,42.9596001,-71.0866111,13,3444.8039585012766,12,2,43.88572415765934,0.2734374384911602,D
33,11,37140,"Hollis town, Hillsborough County, New Hampshire",8342,32.24113079131081,258.7378232480674,New Hampshire,42.7226778,-71.5415797,3,776.2134697442023,3,1,83.50420633818707,0.03592633391245201,D
50,23,3250,"Barre town, Washington County, Vermont",7923,30.624008302617373,258.7185818952001,Vermont,44.1606176,-72.4695476,14,3622.0601465328014,13,2,79.31587526369596,0.16390161435878767,D
33,15,21380,"East Kingston town, Rockingham County, New Hampshire",2441,9.955810516145448,245.18345302388025,New Hampshire,42.98454,-71.08897,5,1225.9172651194012,4,1,25.785449678711547,0.15512624560906524,D
33,15,51380,"Newfields town, Rockingham County, New Hampshire",1769,7.245869785481102,244.1390823148148,New Hampshire,43.0367935,-70.9397742,2,488.2781646296296,2,1,18.7667302856982,0.10657157477902081,D
33,9,33860,"Hanover town, Grafton County, New Hampshire",11870,50.03901111904974,237.21491961061392,New Hampshire,43.736407,-72.1277752,1,237.21491961061392,1,0,129.60053840822764,0.007716017327413475,D
33,9,62660,"Plymouth town, Grafton County, New Hampshire",6682,28.602509324365275,233.6158665039884,New Hampshire,43.7574962,-71.6880562,30,7008.475995119652,27,2,74.08021312501282,0.3644697937685007,D
50,27,32275,"Hartford town, Windsor County, Vermont",10686,45.83600489718556,233.1355017517276,Vermont,43.6488351,-72.3193634,34,7926.607059558738,31,2,118.71479432366162,0.2611300485050096,D
50,21,57250,"Proctor town, Rutland County, Vermont",1763,7.563889889195858,233.08112966031428,Vermont,43.6610327,-73.03532,4,932.3245186412571,4,1,19.590399174118378,0.20418164859471327,D
50,1,44350,"Middlebury town, Addison County, Vermont",9152,39.56276554868441,231.32862106765268,Vermont,44.014299,-73.167229,43,9947.130705909065,39,2,102.46716714343712,0.38060972199423093,D
33,1,4740,"Belmont town, Belknap County, New Hampshire",7314,31.82309228494278,229.8331015261093,New Hampshire,43.4430385,-71.4817109,6,1378.9986091566557,5,1,82.42149078707895,0.06066378989572753,D
33,13,660,"Allenstown town, Merrimack County, New Hampshire",4707,20.538497225638647,229.17937706387548,New Hampshire,43.14054,-71.3961474,1,229.17937706387548,1,0,53.194502429431836,0.018798935121662363,D
33,17,41460,"Lee town, Strafford County, New Hampshire",4520,20.16284776069845,224.17468274548065,New Hampshire,43.1279995,-71.0159161,6,1345.048096472884,5,1,52.221574071731375,0.09574586919061492,D
50,7,62050,"St. George town, Chittenden County, Vermont",794,3.677104699992523,215.9307566090284,Vermont,44.3786446,-73.1267097,3,647.7922698270852,3,1,9.523664401933633,0.3150047999791862,D
33,15,2820,"Auburn town, Rockingham County, New Hampshire",5946,28.75998235513128,206.74560667590708,New Hampshire,43.0018848,-71.3456922,4,826.9824267036283,4,1,74.48806669996647,0.05369987673477637,D
50,21,61300,"Rutland town, Rutland County, Vermont",3924,19.34189406038043,202.87568465375105,Vermont,43.6047689,-73.0114438,28,5680.51917030503,25,2,50.095312197444706,0.49904869145171665,D
33,15,12100,"Chester town, Rockingham County, New Hampshire",5232,26.077495779455376,200.6327618360473,New Hampshire,42.96118,-71.2633596,6,1203.796571016284,5,1,67.54045329383162,0.07402970747394501,D
50,5,62200,"St. Johnsbury town, Caledonia County, Vermont",7364,36.749676947021925,200.38271385666576,Vermont,44.419494,-72.0156532,27,5410.3332741299755,24,2,95.18129579601731,0.2521503810100917,D
33,17,3460,"Barrington town, Strafford County, New Hampshire",9326,48.53320856461087,192.1570874009816,New Hampshire,43.2338085,-71.0196829,7,1345.099611806871,6,2,125.70052485025649,0.04773249759416384,D
33,15,33460,"Hampton Falls town, Rockingham County, New Hampshire",2403,12.62799925338489,190.29142715192071,New Hampshire,42.98454,-71.08897,5,951.4571357596036,4,1,32.70639178627433,0.12230025330029382,D
50,27,69550,"Springfield town, Windsor County, Vermont",9062,49.54612627149411,182.9002725731504,Vermont,43.2988213,-72.4817747,7,1280.3019080120528,6,2,128.32397158190702,0.04675665759121476,D
33,17,26020,"Farmington town, Strafford County, New Hampshire",6722,36.86976718695632,182.3173975011724,New Hampshire,43.4135785,-71.0910089,0,0.0,0,0,95.49232831654498,0.0,D
50,27,84925,"Windsor town, Windsor County, Vermont",3559,19.69774550314241,180.6805758269253,Vermont,43.4798875,-72.3866266,8,1445.4446066154023,7,2,51.01696387568381,0.13720926272792974,D
50,7,45250,"Milton town, Chittenden County, Vermont",10723,61.08745940573743,175.53520975195246,Vermont,44.6373934,-73.11376,9,1579.816887767572,8,2,158.21590898626587,0.05056381530314028,D
33,15,39780,"Kensington town, Rockingham County, New Hampshire",2095,11.959896392079733,175.16874154423138,New Hampshire,42.9282855,-70.9445992,2,350.33748308846276,2,1,30.976012056522585,0.06456609057197414,D
33,5,36660,"Hinsdale town, Cheshire County, New Hampshire",3948,22.612077880420788,174.59695747017,New Hampshire,42.91932,-72.25118,28,4888.71480916476,25,2,58.56505558951103,0.426875715362208,D
33,13,52100,"New London town, Merrimack County, New Hampshire",4400,25.373032792160465,173.41245865411378,New Hampshire,43.4138864,-71.9825232,4,693.6498346164551,4,1,65.71590120136769,0.0608680688672767,D
50,7,64300,"Shelburne town, Chittenden County, Vermont",7717,44.93224400490082,171.74748715328568,Vermont,44.3619262,-73.2663524,1,171.74748715328568,1,0,116.37406265025305,0.00859298006124757,D
33,13,54260,"Northfield town, Merrimack County, New Hampshire",4872,28.820394557651483,169.0469570169899,New Hampshire,43.3828404,-71.616707,1,169.0469570169899,1,0,74.64453370037175,0.013396828279671064,D
33,13,61940,"Pittsfield town, Merrimack County, New Hampshire",4075,24.268084503187307,167.9160132916465,New Hampshire,43.3022883,-71.3247555,8,1343.328106333172,7,2,62.85409618241009,0.11136903440127696,D
33,11,60580,"Peterborough town, Hillsborough County, New Hampshire",6418,38.36141411874993,167.30353005581907,New Hampshire,42.8774912,-71.9507364,17,2844.160010948924,15,2,99.35567895342112,0.1509727491976794,D
33,9,2020,"Ashland town, Grafton County, New Hampshire",1938,11.749826826369006,164.93860110778255,New Hampshire,43.6900346,-71.6445501,5,824.6930055389128,4,1,30.43193398202746,0.13144087399645143,D
33,5,64580,"Rindge town, Cheshire County, New Hampshire",6476,39.727007991596025,163.01252793489894,New Hampshire,42.751816,-72.0094825,2,326.0250558697979,2,1,102.89255342815378,0.019437752620227556,D
33,5,75700,"Swanzey town, Cheshire County, New Hampshire",7270,45.2526951625189,160.6534146505702,New Hampshire,42.91932,-72.25118,28,4498.295610215966,25,2,117.2040279439723,0.21330324937254622,D
33,11,51940,"New Ipswich town, Hillsborough County, New Hampshire",5204,32.99133065184759,157.7384087631083,New Hampshire,42.7596468,-71.8518289,2,315.4768175262166,2,1,85.44721647497873,0.023406262749186856,D
33,17,44820,"Madbury town, Strafford County, New Hampshire",1918,12.164217408342155,157.67557711395767,New Hampshire,43.1675147,-70.9422897,8,1261.4046169116614,7,2,31.505201445432096,0.2221855337800077,D
33,13,6260,"Boscawen town, Merrimack County, New Hampshire",3998,25.480949168425287,156.90153351720983,New Hampshire,43.2772873,-71.6295716,2,313.80306703441966,2,1,65.99540353672981,0.030305140855558188,D
33,15,56820,"Northwood town, Rockingham County, New Hampshire",4641,30.194849191645734,153.70171152515857,New Hampshire,42.98454,-71.08897,5,768.5085576257928,4,1,78.20435745787053,0.05114804507095196,D
33,11,49140,"Mont Vernon town, Hillsborough County, New Hampshire",2584,16.87674831558931,153.11006312828164,New Hampshire,42.91531,-71.71601,1,153.11006312828164,1,0,43.710609369893156,0.02287774099733271,D
33,11,85220,"Wilton town, Hillsborough County, New Hampshire",3896,25.657140982250148,151.84856343484606,New Hampshire,42.8437891,-71.7376383,8,1214.7885074787685,7,2,66.45173857261805,0.10533960661315794,D
33,7,5140,"Berlin city, Coos County, New Hampshire",9425,62.07065821874726,151.84308126369052,New Hampshire,44.4137261,-71.1955334,5,759.2154063184526,4,1,160.7623840799732,0.024881442402659017,D
33,11,79780,"Weare town, Hillsborough County, New Hampshire",9092,59.995304292984606,151.5451935304735,New Hampshire,43.1220926,-71.7108757,0,0.0,0,0,155.38723816578718,0.0,D
33,15,66180,"Rye town, Rockingham County, New Hampshire",5543,36.70233152778465,151.0258277680207,New Hampshire,43.0104925,-70.7733699,9,1359.2324499121862,8,2,95.05867163364697,0.08415855031965669,D
50,21,25375,"Fair Haven town, Rutland County, Vermont",2736,18.18454164845912,150.45746287654367,Vermont,43.5947898,-73.2659674,6,902.744777259262,5,1,47.09778102409263,0.1061621140376502,D
33,9,7700,"Bristol town, Grafton County, New Hampshire",3244,21.87482131382432,148.29835423386416,New Hampshire,43.94074,-71.82055,0,0.0,0,0,56.655568454591844,0.0,D
33,19,52580,"Newport town, Sullivan County, New Hampshire",6299,43.562956551029664,144.59532820324876,New Hampshire,43.3649767,-72.1722258,10,1445.9532820324876,9,2,112.82762183760131,0.07976770097090383,D
33,1,28740,"Gilford town, Belknap County, New Hampshire",7699,53.44216721002674,144.06227145959613,New Hampshire,43.51869,-71.42336,7,1008.435900217173,6,2,138.41467865229714,0.0433480036829925,D
50,7,36700,"Jericho town, Chittenden County, Vermont",5104,35.63709193638733,143.2215627782061,Vermont,44.5061762,-72.9953356,8,1145.7725022256489,7,2,92.29971174432382,0.0758398901547001,D
33,11,50740,"New Boston town, Hillsborough County, New Hampshire",6108,43.13556323395245,141.60009843553703,New Hampshire,42.91531,-71.71601,1,141.60009843553703,1,0,111.72067742030451,0.008950894526336415,D
33,13,24900,"Epsom town, Merrimack County, New Hampshire",4834,34.552772364632055,139.90194329379034,New Hampshire,43.1905826,-71.3051014,7,979.3136030565324,6,2,89.49133489667337,0.06704559728522987,D
